@relation AU_intensity_openFACE_mean_stddev

@attribute frametime numeric
@attribute AU01_r_mean numeric
@attribute AU02_r_mean numeric
@attribute AU04_r_mean numeric
@attribute AU05_r_mean numeric
@attribute AU06_r_mean numeric
@attribute AU07_r_mean numeric
@attribute AU09_r_mean numeric
@attribute AU10_r_mean numeric
@attribute AU12_r_mean numeric
@attribute AU14_r_mean numeric
@attribute AU15_r_mean numeric
@attribute AU17_r_mean numeric
@attribute AU20_r_mean numeric
@attribute AU23_r_mean numeric
@attribute AU25_r_mean numeric
@attribute AU26_r_mean numeric
@attribute AU45_r_mean numeric
@attribute AU01_r_std numeric
@attribute AU02_r_std numeric
@attribute AU04_r_std numeric
@attribute AU05_r_std numeric
@attribute AU06_r_std numeric
@attribute AU07_r_std numeric
@attribute AU09_r_std numeric
@attribute AU10_r_std numeric
@attribute AU12_r_std numeric
@attribute AU14_r_std numeric
@attribute AU15_r_std numeric
@attribute AU17_r_std numeric
@attribute AU20_r_std numeric
@attribute AU23_r_std numeric
@attribute AU25_r_std numeric
@attribute AU26_r_std numeric
@attribute AU45_r_std numeric


@data
66.8,1.08809,0,0.0104906,0.0114386,1.45385,1.60098,0,1.32817,1.35933,2.05539,0.108038,1.51926,0.0165785,0.249909,1.18412,0.737944,0,0.384994,0,0.0349698,0.0461243,0.148381,0.378318,0,0.236294,0.435537,0.794306,0.236246,0.208213,0.0332796,0.391785,0.783246,0.316768,0
67.2,0.91534,0,0.0104906,0,1.48205,1.65575,0,1.25921,1.50047,1.85685,0.0640702,1.46251,0.0165785,0.205118,1.02335,0.6971,0,0.286209,0,0.0349698,0,0.168409,0.402733,0,0.131014,0.365982,0.580298,0.214864,0.221468,0.0332796,0.353934,0.845589,0.348564,0
67.6,0.745842,0,0.0016115,0,1.52203,1.76066,0.0028001,1.28272,1.66028,1.70135,0,1.41609,0.0201828,0.123196,0.888249,0.624008,0,0.376187,0,0.00747583,0,0.21063,0.42669,0.0132242,0.146442,0.173277,0.209096,0,0.213414,0.0343089,0.134367,0.880538,0.332193,0
68,0.649588,0,0.0016115,0,1.59751,1.90607,0.0254194,1.2947,1.72397,1.73614,0,1.36202,0.0171919,0.174443,0.694576,0.552582,0,0.452035,0,0.00747583,0,0.210668,0.380089,0.0671934,0.164061,0.114851,0.206049,0,0.18054,0.0339344,0.151651,0.846798,0.239221,0
68.4,0.551303,0,0,0,1.67477,2.03837,0.0567931,1.35045,1.75661,1.78418,0,1.34755,0.0116151,0.226828,0.42618,0.489279,0.000502309,0.497283,0,0,0,0.197765,0.27372,0.0985802,0.201111,0.0961809,0.217788,0,0.181488,0.0260122,0.151944,0.67553,0.175677,0.00435012
68.8,0.411708,0,0,0,1.74203,2.09499,0.0816377,1.40566,1.75938,1.83051,0,1.32543,0.0143887,0.278743,0.201116,0.496447,0.012197,0.484965,0,0,0,0.149023,0.181365,0.107463,0.209614,0.0933435,0.180005,0,0.180362,0.0278451,0.130985,0.416629,0.177368,0.0340493
69.2,0.249419,0,0.00284677,0,1.78621,2.08649,0.104703,1.43866,1.75737,1.89386,0,1.28547,0.0173756,0.333284,0.0657376,0.49412,0.0692896,0.378509,0,0.0129186,0,0.100331,0.191572,0.106362,0.184642,0.0957726,0.148654,0,0.204902,0.0294622,0.103329,0.0736481,0.182177,0.151219
69.6,0.126269,0,0.00480609,0,1.80101,2.0384,0.136547,1.48821,1.73411,1.90571,0,1.25137,0.0205442,0.327863,0.0640565,0.513765,0.0834762,0.271494,0,0.017246,0,0.087146,0.203451,0.106259,0.162135,0.11901,0.143084,0,0.193803,0.0299441,0.108463,0.0744474,0.190177,0.155945
70,0.0255151,0,0.00520971,0,1.83103,2.04523,0.180897,1.5306,1.70162,1.92413,0,1.25837,0.0325256,0.351747,0.0747526,0.572905,0.0834762,0.108218,0,0.0172363,0,0.0698198,0.204644,0.110856,0.139899,0.140988,0.122872,0,0.195969,0.0416262,0.0939438,0.0748954,0.161428,0.155945
70.4,0,0,0.00560971,0,1.84541,2.03893,0.222058,1.5388,1.65915,1.88905,0,1.28275,0.0411977,0.38235,0.079646,0.629047,0.0834762,0,0,0.0172133,0,0.0604977,0.19575,0.100641,0.140278,0.140237,0.121023,0,0.200065,0.0579918,0.0970137,0.076236,0.136371,0.155945
70.8,0,0,0.00798254,0,1.83207,1.98446,0.240539,1.55261,1.63241,1.90629,0,1.27445,0.0482624,0.384203,0.0799387,0.650411,0.175196,0,0,0.0188562,0,0.0638758,0.193692,0.0903293,0.181134,0.12233,0.127262,0,0.21936,0.0611415,0.102168,0.0779472,0.127565,0.398544
71.2,0.0765263,0.00401865,0.0962024,0.0052,1.88847,1.84268,0.340871,1.59578,1.58905,1.97486,0.0456221,1.12093,0.0435812,0.410403,0.0961059,0.578314,0.224237,0.228016,0.0181622,0.231349,0.0236418,0.191648,0.328948,0.312641,0.252326,0.102635,0.220131,0.122626,0.459218,0.0604171,0.166549,0.109996,0.252837,0.457609
71.6,0.0766295,0.00401865,0.139741,0.0444299,1.87939,1.70099,0.367965,1.55584,1.56243,1.97244,0.0804232,0.94377,0.0425286,0.473741,0.131911,0.501682,0.253251,0.227982,0.0181622,0.250614,0.107874,0.19961,0.40986,0.326494,0.277723,0.092229,0.215519,0.143708,0.559807,0.060828,0.237884,0.13377,0.319603,0.455234
72,0.0907053,0.00482841,0.174314,0.0877946,1.83512,1.53466,0.407906,1.51186,1.52748,1.99089,0.12267,0.831601,0.0362507,0.476501,0.144993,0.411955,0.232972,0.233132,0.0187092,0.254796,0.145367,0.24044,0.535149,0.324765,0.302405,0.108672,0.210593,0.16197,0.611947,0.0620225,0.238373,0.140631,0.349236,0.456662
72.4,0.224854,0.0315508,0.25837,0.105853,1.86147,1.33771,0.50717,1.51739,1.45311,1.97772,0.166835,0.703958,0.0332312,0.481863,0.151376,0.321814,0.187594,0.39364,0.0778783,0.297637,0.143213,0.24009,0.651233,0.361472,0.305506,0.195552,0.214419,0.172697,0.644681,0.0627,0.237118,0.136333,0.354743,0.454681
72.8,0.560992,0.116699,0.442224,0.121275,1.81044,1.12281,0.594085,1.52213,1.38068,1.92661,0.227008,0.573784,0.0237318,0.449916,0.147259,0.230247,0.187246,0.881089,0.226175,0.473997,0.140118,0.278367,0.691538,0.37365,0.31387,0.246189,0.275194,0.185917,0.59287,0.057094,0.276911,0.138878,0.336396,0.454817
73.2,0.901727,0.176232,0.654514,0.132158,1.75742,0.901902,0.679622,1.52012,1.30117,1.89933,0.245815,0.425531,0.00902888,0.389075,0.13192,0.137206,0.188046,1.07454,0.251698,0.580014,0.136639,0.302599,0.605091,0.387786,0.315406,0.279558,0.297491,0.170389,0.478138,0.0311718,0.316124,0.146674,0.28438,0.454498
73.6,1.27041,0.247132,0.864553,0.132158,1.69175,0.663593,0.788278,1.56919,1.22515,1.84706,0.288647,0.2843,0.00615364,0.327972,0.113449,0.035058,0.186085,1.17361,0.278428,0.608449,0.136639,0.33957,0.451976,0.369474,0.311654,0.290664,0.342162,0.149033,0.279873,0.0271395,0.339594,0.14908,0.134936,0.455223
74,1.53239,0.332515,1.05729,0.126958,1.60831,0.672659,0.899214,1.5339,1.06421,1.64602,0.299445,0.204809,0,0.286486,0.101661,0,0.0494401,1.14098,0.297368,0.622996,0.139461,0.324806,0.464457,0.326348,0.238411,0.34387,0.447116,0.131944,0.177999,0,0.345696,0.15003,0,0.104984
74.4,1.69951,0.389691,1.11069,0.11383,1.50062,0.716084,0.865664,1.52767,0.939415,1.51288,0.27399,0.200798,0,0.181004,0.0762674,0,0.0565773,1.04602,0.290428,0.622827,0.136641,0.236047,0.51451,0.302083,0.219046,0.358271,0.453381,0.143421,0.180886,0,0.254299,0.130712,0,0.106774
74.8,1.71932,0.389691,1.08728,0.0716727,1.53795,0.788878,0.88145,1.56495,0.995766,1.54184,0.288411,0.184238,0,0.154163,0.11174,0,0.0663282,1.01483,0.290428,0.657742,0.111382,0.264338,0.566521,0.269524,0.178654,0.455737,0.486617,0.142936,0.188213,0,0.211722,0.211397,0,0.109454
75.2,1.68664,0.375961,1.03993,0.0391807,1.54425,0.900331,0.818917,1.59067,1.0766,1.52878,0.300297,0.178311,0,0.130143,0.149505,0,0.121518,1.04838,0.303069,0.704703,0.0670597,0.26499,0.577746,0.333633,0.133686,0.531675,0.479424,0.157835,0.19185,0,0.188682,0.227037,0,0.188505
75.6,1.72,0.344031,1.02745,0.0310194,1.52907,1.0456,0.761665,1.64396,1.07259,1.45364,0.263162,0.167709,0,0.111706,0.17016,0.00974827,0.131822,1.03395,0.305152,0.715692,0.0635872,0.247149,0.537499,0.366323,0.173885,0.535183,0.504879,0.158729,0.181974,0,0.185379,0.227309,0.0402679,0.189279
76,1.595,0.266928,0.932794,0.0110607,1.55957,1.19329,0.735207,1.67734,1.05555,1.42935,0.227541,0.144113,0,0.115729,0.203777,0.0142145,0.131023,0.965039,0.295155,0.671642,0.027059,0.238305,0.539644,0.358674,0.193575,0.540897,0.509606,0.166776,0.165695,0,0.184322,0.227411,0.0422737,0.189804
76.4,1.3201,0.229025,0.855965,0.0114923,1.63153,1.39053,0.723399,1.65068,1.08011,1.46361,0.211551,0.098048,0,0.135189,0.319848,0.0144066,0.133198,0.915309,0.29711,0.65567,0.0276922,0.287057,0.389947,0.354386,0.206272,0.550889,0.555337,0.179724,0.137998,0,0.187799,0.336109,0.0425293,0.190199
76.8,1.07949,0.16296,0.663046,0.0153271,1.70542,1.53744,0.620962,1.653,1.18698,1.51489,0.173314,0.0891287,0,0.147551,0.389018,0.0642076,0.173258,0.837565,0.267382,0.524521,0.0321578,0.278125,0.405637,0.334244,0.238778,0.567346,0.572229,0.173111,0.127936,0,0.191179,0.338982,0.231721,0.225427
77.2,0.778573,0.0563962,0.453959,0.0555612,1.62034,1.42984,0.482442,1.50612,1.23905,1.4717,0.168101,0.0874578,0,0.149757,0.509872,0.0870976,0.198746,0.778548,0.117502,0.439958,0.161293,0.507608,0.564529,0.346925,0.493923,0.56186,0.666296,0.178015,0.130209,0,0.191747,0.508683,0.251689,0.23215
77.6,0.695754,0.0353826,0.581536,0.0716399,1.64569,1.63369,0.404547,1.55205,1.22421,1.30519,0.128638,0.129984,0,0.0995712,0.6403,0.381908,0.209779,0.794401,0.0640057,0.518729,0.174602,0.509801,0.718981,0.385791,0.517552,0.522718,0.692174,0.176939,0.164312,0,0.15544,0.59405,0.732232,0.260793
78,0.683146,0.0380851,0.726167,0.276929,1.5555,1.88947,0.346067,1.42863,1.0311,1.00056,0.111508,0.129984,0.00114558,0.0693845,0.896679,0.60062,0.170782,0.814123,0.0636744,0.573417,0.726913,0.519429,0.979038,0.411781,0.613998,0.472286,0.700368,0.187268,0.164312,0.00658615,0.135671,0.813276,0.810683,0.265778
78.4,0.776859,0.0342955,0.709705,0.419877,1.5374,2.07948,0.329508,1.48356,0.981536,1.04067,0.132899,0.1099,0.00574821,0.0341049,0.981286,0.653939,0.254231,0.851537,0.0620686,0.597975,0.941052,0.533176,0.998864,0.426598,0.702589,0.455016,0.756236,0.257558,0.153934,0.0172371,0.0835718,0.828174,0.806921,0.509318
78.8,0.566844,0.01507,0.587507,0.548157,1.45782,2.00723,0.213186,1.39217,0.989732,0.922028,0.224164,0.0772113,0.00593069,0.0351876,0.984398,0.658234,0.406412,0.729611,0.029336,0.605672,0.975919,0.609554,1.10967,0.390029,0.747757,0.506337,0.774183,0.368408,0.141277,0.0174815,0.0846807,0.850259,0.823304,0.629553
79.2,0.522421,0.00874504,0.60005,0.55692,1.49037,2.03098,0.225808,1.397,0.962102,0.81798,0.272433,0.064179,0.00593069,0.116272,0.914095,0.657796,0.437419,0.689722,0.0255818,0.628447,0.971991,0.69125,1.14072,0.421782,0.780702,0.521458,0.734932,0.363607,0.136034,0.0174815,0.300461,0.886558,0.823652,0.621038
79.6,0.587103,0.00282917,0.610214,0.548218,1.5457,2.16442,0.262653,1.47687,0.940719,0.701112,0.268997,0.0631762,0.00583803,0.193917,0.852348,0.647518,0.430584,0.705133,0.0125977,0.627359,0.966756,0.744122,1.18234,0.476356,0.813734,0.502726,0.571785,0.36179,0.135188,0.0173581,0.36459,0.894978,0.821216,0.618511
80,0.64813,0.00317661,0.679009,0.612178,1.63111,2.27978,0.294908,1.55762,0.955359,0.73256,0.302032,0.0674149,0.00655498,0.216324,0.923601,0.669111,0.446835,0.720162,0.0133198,0.630851,1.00654,0.654815,1.09005,0.495578,0.752181,0.404298,0.564818,0.370267,0.142211,0.0182806,0.380563,0.915508,0.845902,0.642095
80.4,0.785392,0.00385249,0.749032,0.660322,1.6799,2.32812,0.357655,1.57852,0.882612,0.743208,0.34778,0.0271663,0.00794965,0.262351,0.852008,0.596056,0.441161,0.722252,0.0146057,0.637744,1.09673,0.685951,1.13743,0.525413,0.784119,0.376968,0.616871,0.389408,0.0598973,0.0198872,0.404938,0.933684,0.838175,0.700674
80.8,0.99766,0,0.510707,0.809133,1.65592,2.28572,0.454318,1.65305,0.883368,0.848227,0.419176,0.0143409,0.0100982,0.319848,0.526389,0.225255,0.549102,0.669997,0,0.49339,1.19435,0.767303,1.27679,0.554622,0.84936,0.414346,0.648968,0.406404,0.0342989,0.0219787,0.438476,0.734782,0.460394,0.754564
81.2,0.912017,0,0.595384,0.299638,1.82713,1.89028,0.622585,1.86116,0.962839,0.87529,0.403507,0.0129349,0.00491556,0.438143,0.179748,0,0.644664,0.516238,0,0.482225,0.539568,0.822901,1.05618,0.56314,0.743704,0.439099,0.512487,0.39105,0.0367762,0.0177389,0.46091,0.21453,0,0.835455
81.6,0.794575,0,0.665711,0.208283,1.9111,2.04943,0.800466,1.72035,0.858291,0.712761,0.263937,0.00714286,0,0.563327,0.167889,0,0.316493,0.451684,0,0.480747,0.45003,0.907064,1.08742,0.512598,0.766666,0.431162,0.282417,0.246369,0.0167061,0,0.449582,0.199409,0,0.571748
82,1.13709,0,0.782739,0,2.54571,2.84743,1.13405,2.17508,1.04658,0.839975,0.162418,0.0136364,0,0.929297,0.204773,0,0.000522592,0.0465622,0,0.28452,0,0.0742867,0.486667,0.133708,0.173069,0.108775,0.0528998,0.185018,0.0214658,0,0.100743,0.189071,0,0.00173324
82.4,1.13156,0,0.766434,0,2.6448,3.31001,1.24296,2.27378,1.08693,0.925403,0,0,0,0.89,0.528773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
83.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
83.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
85.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
85.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
86.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
86.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
87.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
87.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
89.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.6,0.00219638,0,0.315135,0.167224,0.237604,0.32616,0.00111062,0.258814,0.0840823,0.105567,0.127989,0.154444,0,0.237678,0.0873833,0.0641252,0.115785,0.00587047,0,0.506694,0.265123,0.392232,0.588099,0.00415556,0.404595,0.127344,0.161212,0.24435,0.264645,0,0.387278,0.186175,0.108782,0.185578
90,0.00253122,0,0.535559,0.343572,0.663555,0.934239,0.00531463,0.681929,0.286241,0.55405,0.127643,0.122117,0,0.382274,0.431126,0.0541298,0.113038,0.00612116,0,0.473326,0.424426,0.603442,0.877214,0.0113407,0.642554,0.274273,0.646922,0.222339,0.218102,0,0.421778,0.519682,0.100778,0.158079
90.4,0.397471,0,0.454347,0.291724,0.960833,1.25526,0.00980974,0.958421,0.497068,1.21515,0.0908581,0.246665,0,0.312681,0.850349,0.28241,0.0958993,0.756293,0,0.469729,0.40561,0.687588,0.890874,0.0215169,0.696336,0.419781,1.19942,0.194436,0.275993,0,0.384955,0.806633,0.384626,0.140612
90.8,0.719515,0,0.352644,0.225423,1.11685,1.37836,0.00758025,1.11472,0.664147,1.74425,0.0702085,0.398921,0,0.255991,1.07703,0.515222,0.0852696,0.896212,0,0.453139,0.376235,0.669702,0.816784,0.0193029,0.684114,0.485888,1.44413,0.174634,0.385499,0,0.353933,0.828489,0.556076,0.137669
91.2,0.772794,0.0066253,0.348704,0.187646,1.25623,1.37903,0.0558748,1.23248,0.809664,1.89875,0.123177,0.394544,0,0.21115,0.992652,0.465429,0.307562,0.82052,0.0266644,0.410804,0.349063,0.688073,0.745786,0.14506,0.667096,0.53882,1.3426,0.203117,0.378558,0,0.332931,0.822287,0.536748,0.524191
91.6,0.789819,0.00678112,0.331758,0.195785,1.31099,1.37043,0.0733745,1.27227,0.841069,1.92813,0.154182,0.367807,0,0.198447,0.925231,0.433331,0.306398,0.794565,0.0260393,0.401247,0.338005,0.694258,0.7224,0.154544,0.66006,0.532567,1.30067,0.227136,0.37825,0,0.324671,0.831355,0.531069,0.507673
92,0.789819,0.00678112,0.331758,0.195785,1.31099,1.37043,0.0733745,1.27227,0.841069,1.92813,0.154182,0.367807,0,0.198447,0.925231,0.433331,0.306398,0.794565,0.0260393,0.401247,0.338005,0.694258,0.7224,0.154544,0.66006,0.532567,1.30067,0.227136,0.37825,0,0.324671,0.831355,0.531069,0.507673
92.4,0.934888,0.00802663,0.392693,0.231745,1.55179,1.62214,0.0868514,1.50596,0.995551,2.28227,0.182501,0.435364,0,0.234896,1.09517,0.512922,0.362676,0.781831,0.0281953,0.408362,0.356597,0.436946,0.450438,0.164824,0.397645,0.424039,1.08805,0.236618,0.373998,0,0.341227,0.794198,0.541517,0.534061
92.8,1.17304,0.0100847,0.264135,0.197381,1.70674,1.66172,0.106799,1.673,1.16083,2.73389,0.150866,0.491145,0,0.177608,1.27161,0.621346,0.38725,0.697757,0.0313509,0.322984,0.381645,0.289381,0.343675,0.179658,0.203605,0.290394,0.672547,0.22383,0.375189,0,0.323849,0.791068,0.554853,0.59398
93.2,1.09825,0.0103501,0.100252,0.0381507,1.36397,1.24389,0.103215,1.28965,0.99162,2.28227,0.154174,0.415072,0,0.0234326,0.931463,0.541284,0.381856,0.734715,0.0317273,0.154123,0.0983023,0.801491,0.7717,0.183822,0.743676,0.578358,1.36614,0.225891,0.422557,0,0.0393811,0.939452,0.599618,0.606935
93.6,1.0527,0.0103501,0.337134,0.459891,1.2292,0.766588,0.103215,1.04167,0.869991,1.40235,0.360753,0.486113,0.00238147,0.0171218,0.565102,0.596801,0.381057,0.709435,0.0317273,0.389097,0.725422,0.795548,0.718373,0.183822,0.728136,0.580185,1.44626,0.371722,0.503388,0.00814818,0.0371974,0.685549,0.673079,0.607444
94,1.06332,0.0122908,0.469461,0.81288,1.1551,0.42177,0.115619,0.884307,0.738291,0.723162,0.538337,0.485136,0.0144786,0.00336907,0.275915,0.628807,0.182067,0.754296,0.0343049,0.443286,0.893756,0.840773,0.553555,0.195975,0.712133,0.557712,1.13705,0.444569,0.54262,0.0334675,0.0179074,0.292732,0.747072,0.353605
94.4,1.14507,0.0125926,0.647858,1.16019,0.883318,0.102828,0,0.65728,0.576865,0.137529,0.594716,0.768562,0.0171598,0,0.444663,0.970438,0,0.868384,0.0453696,0.498063,0.899427,0.691688,0.11061,0,0.55455,0.460075,0.284254,0.506702,0.621853,0.0358845,0,0.353065,0.734332,0
94.8,1.15656,0.124261,0.510131,0.908798,0.815236,0.0810526,0,0.566571,0.641063,0.177594,0.480533,0.622403,0.0675788,0,0.395229,0.787332,0,0.947942,0.336038,0.506455,0.915994,0.671445,0.105084,0,0.52453,0.58213,0.292326,0.495404,0.610448,0.143396,0,0.340795,0.730677,0
95.2,1.17938,0.155154,0.47727,0.840757,0.822987,0.0746537,0.00511579,0.541669,0.673051,0.203396,0.448991,0.595246,0.0826107,0.00460421,0.389683,0.761414,0,0.915879,0.339795,0.498965,0.909158,0.648702,0.10314,0.0315358,0.510656,0.578655,0.297899,0.488375,0.593785,0.149611,0.0283823,0.328903,0.707451,0
95.6,1.17938,0.155154,0.47727,0.840757,0.822987,0.0746537,0.00511579,0.541669,0.673051,0.203396,0.448991,0.595246,0.0826107,0.00460421,0.389683,0.761414,0,0.915879,0.339795,0.498965,0.909158,0.648702,0.10314,0.0315358,0.510656,0.578655,0.297899,0.488375,0.593785,0.149611,0.0283823,0.328903,0.707451,0
96,1.31813,0.173407,0.533419,0.939669,0.919809,0.0834364,0.00571765,0.605395,0.752234,0.227325,0.501813,0.665275,0.0923296,0.00514588,0.435528,0.850992,0,0.867224,0.355239,0.498282,0.91159,0.616495,0.105699,0.0333393,0.502623,0.56041,0.306425,0.490011,0.589336,0.155473,0.0300054,0.317361,0.694702,0
96.4,1.56857,0.24566,0.604623,1.06276,1.12022,0.0704621,0.0081,0.736623,0.955595,0.307371,0.613179,0.78252,0.128267,0.00729,0.504918,0.971042,0,0.783825,0.403163,0.526595,0.97175,0.55896,0.0928339,0.0396817,0.511853,0.520793,0.333206,0.524394,0.616279,0.173313,0.0357136,0.307469,0.703444,0
96.8,1.29622,0.36849,0.32088,0.460845,0.827745,0.0381551,0.01215,0.542929,0.910661,0.443485,0.275271,0.496762,0.167243,0.010935,0.408878,0.550744,0,0.977222,0.448274,0.495333,0.755039,0.613648,0.0892962,0.0486,0.591355,0.688167,0.332086,0.386167,0.635663,0.19976,0.04374,0.373493,0.618659,0
97.2,1.1583,0.462987,0.0536734,0.0519597,0.618661,0.00504008,0.0162,0.236406,0.833382,0.334647,0.0836945,0.155683,0.222991,0.01458,0.233504,0.227658,0,1.07806,0.48211,0.0680108,0.0565771,0.540115,0.0116596,0.0561184,0.20607,0.785115,0.286074,0.126636,0.140109,0.202122,0.0505066,0.221373,0.208684,0
97.6,0.760642,0.252729,0.064922,0.0447691,0.472911,0.0067201,0.0216,0.177917,0.55774,0.262431,0.0428478,0.14217,0.160077,0.01944,0.200406,0.222501,0,0.742812,0.248228,0.0756053,0.0563625,0.479093,0.0131994,0.0648,0.186135,0.574373,0.269454,0.0810403,0.156657,0.164591,0.05832,0.204174,0.236388,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
100.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
100.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
101.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
101.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
102,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
102.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
102.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
103.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
103.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.6007397,0,0.003520374,0,0.3240943,0.4677571,0,0.2418243,0.3454503,0.2489775,0.01037123,0.5296773,0,0,0.05897717,0.06749548,0,0.9101929,0,0.01451487,0,0.4812324,0.6803771,0,0.3680942,0.5156041,0.3797028,0.02928419,0.8007739,0,0,0.101291,0.1045687,0
104.4,1.112106,0,0.08940125,0.01300017,0.5882221,0.7724491,0,0.4435602,0.6456347,0.6432783,0.0100066,0.8792168,0,0,0.2063983,0.2515388,0,1.006648,0,0.1341274,0.02858798,0.5195315,0.6755233,0,0.4150148,0.5774211,0.6096353,0.02839351,0.7828194,0,0,0.31742,0.2826448,0
104.8,1.124923,0,0.1163287,0.009486613,0.7942434,0.9825485,0,0.7058394,0.9069747,0.8469568,0.02283135,1.00073,0.01182486,0,0.7288234,0.3353543,0,0.8581578,0,0.1245099,0.0249902,0.5635167,0.6734246,0,0.5677806,0.6648683,0.6283962,0.04698917,0.7006904,0.03238343,0,0.9537052,0.2840162,0
105.2,0.967439,0,0.1257519,0.007468184,0.9875455,1.112423,0,0.9424865,1.190106,1.045288,0.01917478,1.035937,0.04984963,0,1.17713,0.4072749,0,0.8367985,0,0.1156745,0.02245326,0.6249377,0.6476959,0,0.6820167,0.8067792,0.6786013,0.04274175,0.6278625,0.09001119,0,1.214047,0.2911304,0
105.6,0.7977129,0,0.1045915,0.006157977,1.134268,1.207778,0.006628712,1.11319,1.383375,1.192348,0.01581078,1.031283,0.08001337,0,1.501044,0.5131475,0,0.8443938,0,0.1146472,0.02055078,0.6515326,0.6254701,0.0266551,0.7255609,0.8447137,0.6947102,0.03943057,0.5720042,0.1198605,0,1.310095,0.3589331,0
